"In the DevOps workshop, which tool was recommended for building Java / Spring Boot projects?",Maven (specifically version 3.9.x).
Why are configuration files like `pom.xml` and `package.json` considered a 'source of truth' in a CI/CD pipeline?,Because they allow the pipeline to automatically and deterministically reproduce the build by defining all necessary dependencies and versions.
What is the default port on which Jenkins is accessible after installation?,The default port is `8080`.
"In a Jenkins pipeline script, what block contains the main steps of a particular stage, such as compilation or testing?",The `steps` block.
The `dotnet` command `dotnet restore` is used for what purpose?,"It restores the dependencies and tools of a project as specified in the project file (e.g., .csproj)."
"In the GitLab pipeline, which Docker image was used for the jobs related to the .NET project?",The image `mcr.microsoft.com/dotnet/sdk:8.0` was used.
"In the comparison between GitLab CI and Jenkins, which tool was noted as offering more control and flexibility but requiring more administration?",Jenkins.
What command is used to generate a `.war` file for a Spring Boot project configured with Maven?,The command `mvn package`.
What command was used to restart the local Tomcat 10 service from the GitLab deploy job script?,The command `sudo systemctl restart tomcat10`.
"In SonarCloud, an _____ is created to correspond with a GitLab group, allowing projects from that group to be imported for analysis.",organization
What is a 'code smell' as detected by SonarCloud?,"It is a characteristic in the source code that indicates a deeper problem, such as code duplication or an unused variable, which affects maintainability."
"In the DevSecOps TP, what was the purpose of creating a `develop` branch separate from the `main` branch?",To provide an integration branch where features and fixes are merged and tested before being incorporated into the stable `main` branch.
"What is the primary risk of a 'Secret Detection' finding, such as an exposed AWS Access Key?","It could allow unauthorized access to cloud resources, leading to data compromise or significant financial costs."
The Maven command `mvn archetype:generate` is used for what purpose?,It is used to create a new project from an existing template or 'archetype'.
"In a Jenkins pipeline script, what is the purpose of the `agent any` directive?",It specifies that the pipeline can execute on any available Jenkins agent.
What does the GitLab CI `needs` keyword in a job definition accomplish?,"It creates a directed acyclic graph (DAG) of jobs, allowing a job in a later stage to start as soon as its specified dependencies from an earlier stage are complete, without waiting for the whole stage."
What does the `-DskipTests` flag do when running a Maven command like `mvn package`?,It instructs Maven to skip the execution of the test suite during the build process.
What command is used to initialize a new local Git repository?,The command is `git init`.
"In the `.gitlab-ci.yml` file for SonarCloud, what purpose do the `cache` and `paths` keywords serve?",They define files and directories (like `.sonar/cache`) to be saved between job runs to speed up subsequent pipeline executions.
"When correcting the hardcoded secret, why is it important to add the `.env` file to `.gitignore`?",To ensure the file containing the secret is no longer tracked by Git and cannot be accidentally committed to the repository again.
"In the GitLab CI pipeline for security, the results of SAST and Secret Detection scans were made available as downloadable JSON _____.",artifacts
The `npm run build` command executes a script defined in which section of the `package.json` file?,It executes the command associated with the `build` key within the `scripts` section.
"According to the analysis in TP1, what is the role of the `.csproj` file in a .NET project?","It defines the .NET project, its target framework, and its NuGet dependencies, which is essential for CI/CD automation."
